Motion Sum,Fused Angle X,Fused Angle Y,Gyro Angle Z,Amplitude,Label
0.0,0.0,0.0,0.0,0.0,0
0.0,-2.3090706E-4,0.0,0.0020781634,0.0,0
0.0,-2.5167648E-4,0.0,0.0022650883,0.0,0
653383.94,0.010352532,1.7878597E-4,0.0024190263,0.0,0
653383.94,0.019947143,3.4604632E-4,0.0026719244,0.0,0
653383.94,0.028573986,4.955422E-4,0.0028808403,0.0,0
446310.75,0.03971926,0.0010881613,0.0033866367,0.0,0
446310.75,0.049607556,0.0015363637,0.0035063664,0.0,0
446310.75,0.05847269,0.0019740765,0.0035454617,0.0,0
58569.16,0.052849427,9.0550206E-4,0.003584557,0.0,0
58569.16,0.04779778,-6.550009E-5,0.0036383132,0.0,0
58569.16,0.043271087,-9.3720295E-4,0.0037042866,0.0,0
58569.16,0.039199017,-0.0017227129,0.003766595,0.0,0
58569.16,0.03553587,-0.002430527,0.003825238,0.0,0
15.686275,0.032245383,-0.0030707363,0.0038875462,0.0,0
15.686275,0.029288104,-0.0036490017,0.0039498545,0.0,0
15.686275,0.026633149,-0.004172739,0.004015828,0.0,0
15.686275,0.024231594,-0.004596822,0.0041074576,0.0,0
15.686275,0.022080272,-0.004968417,0.004223522,0.0,0
15.686275,0.020138403,-0.0053085336,0.004309043,0.0,0
0.0,0.018398786,-0.005606575,0.00441289,0.0,0
0.0,0.016834412,-0.0058735292,0.0045106285,0.0,0
0.0,0.01543124,-0.0061090235,0.0046144756,0.0,0
0.0,0.014202655,-0.0063282377,0.0047598616,0.0,0
0.0,0.013103159,-0.0065234536,0.0049052476,0.0,0
0.0,0.012116178,-0.006698293,0.0050420812,0.0,0
0.0,0.011237425,-0.0068524717,0.005187467,0.0,0
0.0,0.010449113,-0.0069903773,0.005324301,0.0,0
0.0,0.009749162,-0.007111316,0.005469687,0.0,0
0.0,0.009104667,-0.007218084,0.0055527645,0.0,0
0.0,0.008526332,-0.0073133195,0.005630955,0.0,0
0.0,0.008012183,-0.007395855,0.005714033,0.0,0
0.0,0.007553604,-0.00746806,0.0057971105,0.0,0
0.0,0.0071425927,-0.0075321896,0.005875301,0.0,0
0.0,0.0067790356,-0.0075867297,0.005958379,0.0,0
0.0,0.0064040646,-0.007675278,0.006062226,0.0,0
0.0,0.006066163,-0.007755826,0.0061599645,0.0,0
0.0,0.005760463,-0.007831496,0.0062638116,0.0,0
0.0,0.005484295,-0.007901676,0.0063676587,0.0,0
0.0,0.0052347053,-0.007966915,0.006471506,0.0,0
0.0,0.0050047594,-0.00803626,0.0066181137,0.0,0
0.0,8.267658E-4,-0.008024632,0.0068087038,0.0,0
0.0,-0.0019526931,-0.008025896,0.0069333203,0.0,0
0.0,-0.0047147144,-0.008023919,0.007057937,0.0,0
0.0,-0.0073078014,-0.0080208555,0.007175223,0.0,0
0.0,-0.010040004,-0.008013335,0.0072998395,0.0,0
0.0,-0.012606254,-0.008005283,0.0074171256,0.0,0
0.0,-0.012667685,-0.00801404,0.007479434,0.0,0
0.0,-0.012718819,-0.008020884,0.007541742,0.0,0
0.0,-0.01276313,-0.008026616,0.007600385,0.0,0
0.0,-0.012796656,-0.008030186,0.0076626935,0.0,0
0.0,-0.012800684,-0.008026863,0.0077579883,0.0,0
0.0,-0.012773523,-0.008052828,0.007845953,0.0,0
0.0,-0.012765937,-0.008073385,0.007908261,0.0,0
0.0,-0.012756543,-0.008092315,0.007966905,0.0,0
0.0,-0.01273856,-0.0081109395,0.008029213,0.0,0
0.0,-0.0127124805,-0.008129352,0.008095186,0.0,0
0.0,-0.01268974,-0.0081458,0.00815383,0.0,0
0.0,-0.0126909,-0.008141423,0.008257677,0.0,0
0.0,-0.01269066,-0.008137055,0.008355415,0.0,0
0.0,-0.012687512,-0.008132148,0.008453154,0.0,0
0.0,-0.012678081,-0.008125531,0.00856311,0.0,0
0.0,-0.01266996,-0.008119699,0.008660848,0.0,0
0.0,-0.012657886,-0.008112861,0.008764695,0.0,0
0.0,-0.01265429,-0.008136823,0.008806234,0.0,0
0.0,-0.012650197,-0.0081592435,0.008845329,0.0,0
0.0,-0.01264456,-0.008181377,0.008884424,0.0,0
0.0,-0.0126363095,-0.008204474,0.008925963,0.0,0
0.0,-0.012626806,-0.008227338,0.008967502,0.0,0
0.0,-0.012617399,-0.008248771,0.009006597,0.0,0
0.0,-0.01258743,-0.008270015,0.009162978,0.0,0
0.0,-0.012554105,-0.008292312,0.009329134,0.0,0
0.0,-0.012519958,-0.008314456,0.009495289,0.0,0
0.0,-0.012485072,-0.008336462,0.009661444,0.0,0
0.0,-0.012451965,-0.008357123,0.009817826,0.0,0
0.0,-0.012415815,-0.008378894,0.009983981,0.0,0
0.0,-0.012379127,-0.008400565,0.010150136,0.0,0
0.0,-0.012393875,-0.008411761,0.010274753,0.0,0
0.0,-0.012408189,-0.008422876,0.0103993695,0.0,0
0.0,-0.012421498,-0.0084333075,0.010516656,0.0,0
